content_id,title,format,habit_interest,estimated_minutes,tone,lifecycle_fit
CNT-001,A two-minute morning reset,Audio,Mindful,2,Calm,New
CNT-002,Build a simple stretch loop,Video,Move,6,Guided,Building
CNT-003,Make tomorrow easier tonight,Checklist,Organize,4,Practical,New
CNT-004,Low-lift lunch ideas,Article,Nourish,5,Practical,Building
CNT-005,Wind down without overplanning,Audio,Rest,7,Calm,Slipping
CNT-006,Share one small win,Community Prompt,Connect,3,Social,Established
CNT-007,Reset a paused routine,Checklist,Organize,5,Practical,Dormant
CNT-008,Weekend walk starter,Video,Move,8,Guided,Prospect
CNT-009,Tiny rituals live session,Live Session,Mindful,20,Guided,Established
CNT-010,Create a calmer grocery list,Article,Nourish,6,Practical,Building
